Event,AvgAx,MinAx
1.0,-2.470744283390244,-3.650126
2.0,-1.545446045909091,-3.317945
3.0,-1.7341164791666666,-3.2122889999999997
4.0,-2.4187442643678168,-3.870846
5.0,-0.4603539585050251,-5.708583
6.0,-0.5939004263437501,-5.706029
7.0,-1.204559912048193,-3.085269
8.0,-2.8046212125000003,-3.732728
9.0,-0.8868068555172416,-3.876295
10.0,-2.4370690240625,-3.1688240000000003
11.0,-2.314074846,-3.862286
12.0,-2.263831991071428,-3.591334
13.0,-1.5895995470588236,-3.818411
14.0,-1.8886538320512822,-3.74775
15.0,-2.761237069444445,-3.849975
16.0,-2.5915644,-3.8420059999999996
17.0,-2.0434271554794523,-5.096775
18.0,-1.3777492669536424,-4.311817
19.0,-2.0598126410714284,-3.9444160000000004
20.0,-1.3514094367647058,-3.112095
21.0,-1.819566433076923,-3.413943
22.0,-1.8249633842772277,-3.5549779999999997
23.0,-2.4092501512820514,-3.1890680000000002
24.0,-1.3244582784507044,-3.3133019999999997
25.0,-0.09145408973145477,-4.975307
26.0,-2.6002799371428567,-4.440637000000001
27.0,-2.1935802933333335,-3.274125
28.0,-0.8742457992698413,-5.980551999999999
29.0,-1.183259476328125,-3.845013
30.0,-2.0996159181818186,-3.3978980000000005
31.0,-2.143853026190476,-3.4117949999999997
32.0,-2.2163203558823534,-3.757225
33.0,-2.1320951923076925,-3.7111169999999998
34.0,-3.738946539130435,-4.92093
35.0,-1.3200578905681817,-4.066633
36.0,-1.179386705263158,-3.603082
37.0,-0.8655506653378378,-3.7852660000000005
38.0,-1.7226328904761907,-3.0828439999999997
39.0,-2.2828082785714283,-2.972223
40.0,-0.7675687754911243,-4.017758000000001
41.0,-2.688036093103448,-4.461132
42.0,-1.507886943902439,-3.0217490000000002
43.0,-2.5949385666666664,-3.734631
44.0,-0.7811720134462367,-3.1177490000000003
45.0,-1.794807090625,-3.04577
46.0,-2.3638569962962963,-3.4176900000000003
47.0,-1.8308426243902436,-3.5007370000000004
48.0,-2.409207862857143,-4.003007
49.0,-2.47356006875,-4.075044999999999
50.0,-2.528942233333334,-3.176111
51.0,-1.5665339010658117,-5.42971
52.0,-0.9434839485514018,-3.690923
53.0,-1.9131729039215686,-3.577605
54.0,-2.078746525,-3.182611
55.0,-1.518847735,-3.093904
56.0,-1.5280475732673262,-3.199456
57.0,-1.855258143877551,-3.200684
58.0,-0.6819263492312501,-3.596031
59.0,-1.6356966198198195,-4.286206
60.0,-1.7051082203658536,-3.320408
61.0,-1.781341141489362,-3.209186
62.0,-1.9362958367647063,-3.444825
63.0,-0.058572436127214134,-3.234207
64.0,-1.4292377376086958,-3.7339910000000005
65.0,-0.8712253030188678,-3.407425
66.0,-1.098122711083744,-3.7714160000000003
67.0,-1.7092619677777778,-3.9335080000000002
68.0,-1.8094255520833336,-3.174878
69.0,0.04284694781439394,-3.59899
70.0,-1.771088818687943,-4.109446
71.0,-1.0722195001621622,-3.0216950000000002
72.0,-0.6505991773809524,-3.4142019999999995
73.0,-1.7428065424657535,-3.079512
74.0,-2.5861678276923072,-4.839835
75.0,-2.0758828769230773,-2.967412
76.0,-1.3145518230578512,-3.653336
77.0,-1.6831838226984128,-3.3220629999999995
78.0,-0.9820014141975308,-2.960071
79.0,-1.757913,-3.816583
80.0,-0.6863213181880001,-2.963876
81.0,-1.7017497351351352,-3.5724980000000004
82.0,0.04177864475065615,-3.109426
83.0,-1.9846981935483874,-3.116168
84.0,-1.2149849886597939,-2.975259
85.0,-1.4770221141171875,-3.4631730000000003
86.0,-2.2720533185185188,-3.009155
87.0,-2.302311590909091,-3.209264
88.0,-1.3621150835616436,-2.955695
89.0,-0.07832403781931464,-3.209071
90.0,-1.708561193617021,-3.3352
91.0,-0.38935417120822624,-3.256745
92.0,-1.7150661647058825,-3.057799
93.0,-1.7718894041237114,-3.088209
94.0,-1.2449218308724834,-3.8642309999999997
95.0,-2.5461670090909085,-3.144584
96.0,-0.2934328448618785,-3.137823
97.0,-2.11664891627907,-6.293142
98.0,-1.8583839918918925,-3.232237
99.0,-2.19460747,-2.991743
100.0,-0.9652383321081079,-3.062067
101.0,-0.22882205744444445,-2.964429
102.0,-2.1445562542857144,-3.031622
103.0,-2.151262538983051,-3.3549879999999996
104.0,-2.000242151111111,-3.359807
105.0,-1.3731249953020135,-3.363607
106.0,-1.4734291428571429,-5.890784
107.0,0.096001581300813,-6.787349000000001
108.0,-2.0275934928571426,-3.337718
109.0,-1.1796718806122448,-3.1556669999999998
110.0,-2.680739383043478,-4.050886
111.0,-2.2283160453846156,-3.646433
112.0,-1.0618243677083334,-3.254325
113.0,-0.8882711389521912,-3.3729769999999997
114.0,-1.2374937898437501,-3.941468
115.0,-1.4496289470000001,-3.0083580000000003
116.0,-0.7976892645689655,-3.482826
117.0,-1.7702413231521736,-3.120968
118.0,-2.4275606818181816,-3.277978
119.0,-0.13172097853309478,-3.020054
120.0,-0.373503405928302,-3.151539
121.0,-0.9676971646159204,-3.1493830000000003
122.0,-1.171938939090909,-3.4710370000000004
123.0,-1.0748853066732027,-3.3057279999999998
124.0,-2.0898105073255815,-3.671437
125.0,-1.5193107946440676,-4.419997
126.0,-1.9209999717171717,-3.208152
127.0,-0.9950731493212669,-3.0152400000000004
128.0,-1.786248463478261,-3.300233
129.0,-1.9954255530120482,-3.4000519999999996
130.0,-1.6069595388888889,-3.7391769999999998
131.0,-1.4503928871951217,-3.0974
132.0,-1.9686229918918918,-3.240555
133.0,-2.302216645945946,-4.0096419999999995
135.0,-1.7159939910714286,-3.01075
136.0,-1.8144070593220336,-4.235332
137.0,-2.2027498785454545,-4.3069690000000005
138.0,-1.739190280319149,-4.413187000000001
139.0,-2.0685758788372097,-4.990743
141.0,-2.2165166193181816,-3.646704
142.0,-1.6848967401030928,-3.045267
143.0,-1.7487857814814813,-3.240066
144.0,-1.4654295106324784,-3.212486
145.0,-1.0201222358762376,-3.7798510000000003
146.0,-1.6662903439024388,-3.156758
147.0,-1.52762222962963,-3.176736
148.0,-1.9215734622641507,-3.317456
149.0,-1.3711479152671755,-3.242532
150.0,-2.2554194802469136,-3.297786
151.0,-0.9416406716551724,-3.656395
152.0,-2.121855024691358,-3.298981
153.0,-1.4655080224489796,-2.956073
154.0,-2.118663420408163,-3.71726
155.0,-1.2392844331147541,-3.189476
156.0,-1.931555856910569,-3.248262
157.0,-0.8765048930708662,-3.564247
158.0,-0.456465421054054,-3.438586
159.0,-1.4768678465648855,-3.8448919999999998
160.0,-1.958521306451613,-3.3343769999999995
161.0,-1.5567370722772282,-3.059925
162.0,-2.0610186684210525,-3.6986879999999998
163.0,-2.2010975239999997,-3.002148
164.0,-1.1756605446621622,-3.297569
165.0,-1.5937307,-3.126657
166.0,-0.73636930625,-3.0621389999999997
167.0,-1.945717788297872,-3.038177
168.0,-1.7234077656603775,-3.403685
169.0,-1.8082271542056074,-3.134302
170.0,-1.5995122740384615,-3.684215
171.0,-0.18368766723163843,-3.274556
172.0,0.03308328523035228,-4.126452
173.0,-2.539758,-2.962695
174.0,-2.8018161296875,-4.554987000000001
175.0,-0.021115637875862098,-3.937556
176.0,-2.011990093548387,-3.081921
177.0,-1.8215230475728155,-3.7829349999999997
178.0,-1.7088910556603774,-3.168939
179.0,-0.2937463830891089,-2.96771
180.0,-1.9471487888888888,-2.967477
181.0,-1.7028056751633989,-3.990825
182.0,-2.277587955,-3.5565809999999995
183.0,-0.7509430485493828,-3.5229269999999997
184.0,-1.8404977252747254,-3.495367
185.0,-2.416555334615385,-3.589406
186.0,-0.453034045924933,-4.371983
187.0,-2.0912428965811967,-3.2509069999999998
188.0,-1.1649131610810812,-4.453555000000001
189.0,-2.4599151428571426,-3.11622
190.0,-2.5340085080645163,-3.118519
191.0,-2.682556621875,-3.5686739999999997
192.0,-1.3373713264248703,-3.273289
193.0,0.07178875058407082,-4.582196
194.0,-1.209551070707071,-3.077311
195.0,-1.8341957514921425,-4.039458
196.0,-2.0231015578571427,-3.345989
197.0,-0.26312251001739134,-3.891443
198.0,-2.2455160904761904,-3.6097050000000004
199.0,-1.0493174152073732,-3.03492
200.0,-0.3458378799898785,-3.8059559999999997
201.0,-0.5746983409358289,-3.0691759999999997
202.0,-1.3392301116315788,-3.076893
203.0,-0.3858613167475729,-3.17163
204.0,-3.858229045454545,-6.118103
205.0,-3.995388086206897,-6.71473
206.0,-2.6347848246428573,-4.363415
207.0,-1.589891842125,-3.066678
208.0,-2.3438282999999998,-3.203634
209.0,-1.61808177625,-3.942712
210.0,-2.4840688,-3.784693
211.0,-4.5998771595238095,-7.16904
212.0,-1.7337983980392155,-3.863643
213.0,-2.315477004081632,-3.192348
214.0,-1.8763967802816899,-3.4140410000000005
215.0,-2.7038724875,-4.580547
216.0,-2.0305164415384622,-4.406029
217.0,-2.0766882883333335,-4.5402
218.0,-1.4424393911111113,-3.287686
219.0,-1.842157899764706,-3.241907
220.0,-1.5259766545454545,-3.116148
221.0,-1.14291935,-3.3222959999999997
222.0,-2.0615718814814814,-3.314636
223.0,-2.68911755625,-3.7223349999999997
224.0,-1.701614945,-4.665692
225.0,-1.0326878752747253,-3.095389
226.0,-4.161017016666666,-7.487493
227.0,-1.9718663285714286,-3.77385
228.0,-2.279451349090909,-4.317241
229.0,-2.579373320833333,-3.526797
230.0,-1.3053195747058821,-3.516118
231.0,-1.2188844529411766,-2.98401
232.0,-2.2602394344444443,-3.4113839999999995
233.0,-1.0230540615000003,-3.4434519999999997
234.0,-1.6908639181111111,-4.368108
235.0,-1.9121089202564103,-5.87351
236.0,-1.6193368792307692,-3.179798
237.0,-1.7584975056410257,-3.044434
238.0,-1.2797584765346535,-3.8886589999999996
239.0,-2.3985814463414634,-3.2872209999999997
240.0,-1.8310711152173915,-3.092855
241.0,-1.193723357894737,-3.028725
242.0,-1.3687829871794872,-3.043894
243.0,-2.0891154543478256,-4.090865
244.0,-1.479956147368421,-2.976203
245.0,-3.2688077499999997,-5.100855
246.0,-1.6011016290909093,-3.143751
247.0,-1.7807849285714283,-3.6393470000000003
248.0,-1.5047539483620693,-3.458308
249.0,-1.8879446865671643,-3.245463
250.0,-1.6655101518518518,-3.016947
251.0,-1.7161680125,-3.278414
252.0,-1.5869628472972974,-2.972465
253.0,-1.5444156101694915,-3.474278
254.0,-1.2112557875,-3.31039
255.0,-2.4352013975903612,-4.397834
256.0,-0.7253810977777778,-3.411247
257.0,-1.3457389065384617,-3.375026
258.0,-1.9544289297297297,-2.955412
259.0,-2.2005602333333334,-3.3243080000000003
260.0,-1.9014325892733328,-4.362712
261.0,-1.6428804345454544,-2.9992490000000003
262.0,-2.1838787980769228,-3.8089910000000002
263.0,-1.2430327107894736,-3.765689
264.0,-2.277128633333333,-3.1360580000000002
265.0,-3.0043418802941173,-4.100606
266.0,-2.1409773618367347,-5.298433
267.0,-3.1330400511627903,-4.598307
268.0,-0.7409826975378788,-2.91891
269.0,-2.3763965022222227,-3.078912
270.0,-1.8981561656435642,-6.069789
271.0,-1.4985283229885054,-3.4074169999999997
272.0,-1.939304307017544,-2.9504759999999997
273.0,-1.8446913944444447,-2.956614
274.0,-2.9173188090909092,-4.213005
275.0,-3.4049313515151516,-5.959536
276.0,-2.5512394236842106,-4.2119919999999995
277.0,-1.0511586654545453,-2.980943
278.0,-1.281146387931034,-2.960093
279.0,-2.1079648559322033,-3.9450089999999998
280.0,-2.025552669215686,-3.121193
281.0,-2.608779172881356,-4.536891000000001
282.0,-2.2600556366666664,-3.677496
283.0,-2.201555660869565,-2.964897
284.0,-1.7151248491525422,-3.384254
285.0,-2.220391393333334,-4.881587000000001
286.0,-2.0677430708333335,-2.9780830000000003
287.0,-2.529725724444444,-3.727706
288.0,-2.372841081578947,-3.3859410000000003
289.0,-2.246123717647059,-4.1319349999999995
290.0,-1.981719050877193,-3.109284
291.0,-1.2083641830985916,-3.974644
292.0,-1.5152913397058823,-2.961468
293.0,-1.7727931255319151,-3.7379860000000003
294.0,-2.1509438068965516,-3.366546
295.0,-1.9000625384615382,-3.7154269999999996
296.0,-1.8725939388888893,-2.962666
297.0,-2.254735214583333,-4.095868
298.0,-2.342320664,-4.679494999999999
299.0,-1.7339830081632652,-2.984221
300.0,-0.4978763675342466,-3.451908
301.0,-1.7956563686567164,-3.0176939999999997
302.0,-2.0671438,-2.9696759999999998
303.0,-2.6911532605263155,-3.5073779999999997
304.0,-2.0353853282051286,-3.922396
305.0,-1.7921303540000002,-3.024709
306.0,-1.1795233482580645,-3.537551
307.0,-0.9558668078899083,-3.1061330000000003
308.0,-1.8794845246153846,-3.116864
309.0,-2.1473524620689655,-3.431285
310.0,-1.4594964533257577,-3.8361870000000002
311.0,-2.220076540540541,-3.7536050000000003
312.0,-1.098073256551515,-3.483224
313.0,-2.032239929787234,-4.090819000000001
314.0,-0.6907130271363635,-3.9682180000000002
315.0,-2.191849041935484,-3.5637440000000002
316.0,-1.4398909994594593,-3.594099
317.0,-2.3061404769230767,-4.445986
318.0,-1.2827277065934066,-3.050705
319.0,-2.685052888372093,-3.7525449999999996
320.0,-2.648794406666667,-3.658125
321.0,-1.8473452371428567,-4.156976
322.0,-1.853218025362319,-3.521237
323.0,-2.053953925,-3.496285
324.0,-1.9378327641509439,-3.4427769999999995
325.0,-1.7055964063829783,-3.081513
326.0,-1.5769338340206185,-3.063866
327.0,-2.2859707208333333,-4.001703
328.0,-1.7610798836734696,-3.028512
329.0,-1.6249709704761908,-2.9801290000000003
330.0,-2.0429656333333335,-4.212861
331.0,-1.7818594241610741,-4.502064
332.0,-2.2890907574468087,-5.487175
333.0,-2.5415344033898304,-3.953061
334.0,-1.5814231461538462,-2.950511
335.0,-1.3746093595625,-3.908947
336.0,-2.244775992857143,-4.375061
337.0,-0.5015139835654546,-2.96139
338.0,-1.724111472093023,-3.037861
339.0,-1.5359009227722775,-3.163684
340.0,-0.1700412334140271,-3.0386610000000003
341.0,-1.7284721528735632,-3.9597300000000004
342.0,-1.778598364883721,-3.5853330000000003
343.0,-2.0690471841269846,-4.954236
344.0,-1.1422679318765625,-3.142261
345.0,-2.79893777027027,-4.528919999999999
346.0,-1.8987261652631577,-3.072752
347.0,-2.1790472346938774,-3.837388
